Sl No,Enrollment No.,Student Name,Gender,Mother Name,Father Name,Address,DOB
1,1000,Salam Samungou Singh,M,Salam Salini Devi1,Salam Saolin Singh1,Salam Leikai1,01/05/2019
2,1001,Athokpam Samson Singh,M,Salam Salini Devi2,Salam Saolin Singh2,Salam Leikai2,01/05/2020
3,1002,Mutum Telheiba Singh,M,Salam Salini Devi3,Salam Saolin Singh3,Salam Leikai3,01/05/2021
4,1003,Ningombam Benu Devi,F,Salam Salini Devi4,Salam Saolin Singh4,Salam Leikai4,01/05/2022
5,1004,Ningthoujam Herris Singh,F,Salam Salini Devi5,Salam Saolin Singh5,Salam Leikai5,01/05/2023
6,1005,Sapam Samu Singh,M,Salam Salini Devi6,Salam Saolin Singh6,Salam Leikai6,01/05/2024
7,1006,Pebam Amu Singh,M,Salam Salini Devi7,Salam Saolin Singh7,Salam Leikai7,01/05/2025
8,1007,Nongthombam Sarat Singh,M,Salam Salini Devi8,Salam Saolin Singh8,Salam Leikai8,01/05/2026
9,1008,Khetri Nony Devi,F,Salam Salini Devi9,Salam Saolin Singh9,Salam Leikai9,01/05/2027
10,1009,Achou Moirangthem Singh,M,Salam Salini Devi10,Salam Saolin Singh10,Salam Leikai10,01/05/2028
11,1010,Okram Meme Devi,F,Salam Salini Devi11,Salam Saolin Singh11,Salam Leikai11,01/05/2029
